Tissue	Samples	Metric	N	Mean	SD	SE	CI_t	CI_lower	CI_upper	SamplesLabel
Brain	1	Sensitivity	5	86.08695652173913	1.9444069369563426	0.869565217391306	2.7764451051977934	83.67265643026278	88.50125661321547	1
Brain	1	Non-redundant Precision	5	99.33843630399126	0.9063473279432291	0.405330847301271	2.7764451051977934	98.21305745701596	100.46381515096655	1
Brain	1	Inv. Redundancy	5	100	0	0	2.7764451051977934	100	100	1
Brain	1	1 - FDR	5	99.33843630399126	0.9063473279432291	0.405330847301271	2.7764451051977934	98.21305745701596	100.46381515096655	1
Brain	1	PDR	5	86.08695652173913	1.9444069369563426	0.869565217391306	2.7764451051977934	83.67265643026278	88.50125661321547	1
Brain	1	F1	5	92.22797305948774	1.1660538915994187	0.5214751534088943	2.7764451051977934	90.78012592232335	93.67582019665213	1
Brain	2	Sensitivity	10	83.18840579710144	1.8332044406773222	0.5797101449275365	2.262157162798205	81.87701034040683	84.49980125379605	2
Brain	2	Non-redundant Precision	10	100	0	0	2.262157162798205	100	100	2
Brain	2	Inv. Redundancy	10	100	0	0	2.262157162798205	100	100	2
Brain	2	1 - FDR	10	100	0	0	2.262157162798205	100	100	2
Brain	2	PDR	10	83.18840579710144	1.8332044406773222	0.5797101449275365	2.262157162798205	81.87701034040683	84.49980125379605	2
Brain	2	F1	10	90.81293202764977	1.094042479066729	0.34596660908279486	2.262157162798205	90.03030118482411	91.59556287047542	2
Brain	3	Sensitivity	10	85.5072463768116	0	0	2.262157162798205	85.5072463768116	85.5072463768116	3
Brain	3	Non-redundant Precision	10	100	0	0	2.262157162798205	100	100	3
Brain	3	Inv. Redundancy	10	100	0	0	2.262157162798205	100	100	3
Brain	3	1 - FDR	10	100	0	0	2.262157162798205	100	100	3
Brain	3	PDR	10	85.5072463768116	0	0	2.262157162798205	85.5072463768116	85.5072463768116	3
Brain	3	F1	10	92.1875	0	0	2.262157162798205	92.1875	92.1875	3
Brain	4	Sensitivity	5	85.5072463768116	0	0	2.7764451051977934	85.5072463768116	85.5072463768116	4
Brain	4	Non-redundant Precision	5	100	0	0	2.7764451051977934	100	100	4
Brain	4	Inv. Redundancy	5	100	0	0	2.7764451051977934	100	100	4
Brain	4	1 - FDR	5	100	0	0	2.7764451051977934	100	100	4
Brain	4	PDR	5	85.5072463768116	0	0	2.7764451051977934	85.5072463768116	85.5072463768116	4
Brain	4	F1	5	92.1875	0	0	2.7764451051977934	92.1875	92.1875	4
Brain	5	Sensitivity	1	85.5072463768116	NA	NA	NA	NA	NA	5
Brain	5	Non-redundant Precision	1	100	NA	NA	NA	NA	NA	5
Brain	5	Inv. Redundancy	1	100	NA	NA	NA	NA	NA	5
Brain	5	1 - FDR	1	100	NA	NA	NA	NA	NA	5
Brain	5	PDR	1	85.5072463768116	NA	NA	NA	NA	NA	5
Brain	5	F1	1	92.1875	NA	NA	NA	NA	NA	5
Kidney	1	Sensitivity	5	84.6376811594203	2.6327394383456455	1.1773968702370958	2.7764451051977934	81.36870338217531	87.90665893666528	1
Kidney	1	Non-redundant Precision	5	98.99320882852292	0.9204567334555831	0.4116407652708177	2.7764451051977934	97.85031084068689	100.13610681635896	1
Kidney	1	Inv. Redundancy	5	100	0	0	2.7764451051977934	100	100	1
Kidney	1	1 - FDR	5	98.99320882852292	0.9204567334555802	0.41164076527081644	2.7764451051977934	97.85031084068689	100.13610681635896	1
Kidney	1	PDR	5	84.6376811594203	2.6327394383456455	1.1773968702370958	2.7764451051977934	81.36870338217531	87.90665893666528	1
Kidney	1	F1	5	91.23373869052806	1.5143007078670272	0.6772158642333447	2.7764451051977934	89.3534860191151	93.11399136194102	1
Kidney	2	Sensitivity	10	80.28985507246377	2.5744758636665175	0.8141207510315321	2.262157162798205	78.44818598413514	82.1315241607924	2
Kidney	2	Non-redundant Precision	10	100	0	0	2.262157162798205	100	100	2
Kidney	2	Inv. Redundancy	10	100	0	0	2.262157162798205	100	100	2
Kidney	2	1 - FDR	10	100	0	0	2.262157162798205	100	100	2
Kidney	2	PDR	10	80.28985507246377	2.5744758636665175	0.8141207510315321	2.262157162798205	78.44818598413514	82.1315241607924	2
Kidney	2	F1	10	89.0471211530386	1.5876623031968748	0.5020629033290953	2.262157162798205	87.91137596009743	90.18286634597978	2
Kidney	3	Sensitivity	10	83.47826086956522	1.7011417257641546	0.5379482476164269	2.262157162798205	82.26133738800497	84.69518435112546	3
Kidney	3	Non-redundant Precision	10	100	0	0	2.262157162798205	100	100	3
Kidney	3	Inv. Redundancy	10	100	0	0	2.262157162798205	100	100	3
Kidney	3	1 - FDR	10	100	0	0	2.262157162798205	100	100	3
Kidney	3	PDR	10	83.47826086956522	1.7011417257641546	0.5379482476164269	2.262157162798205	82.26133738800497	84.69518435112546	3
Kidney	3	F1	10	90.98682367829021	1.0111126053190433	0.3197418803715058	2.262157162798205	90.26351729336123	91.71013006321918	3
Kidney	4	Sensitivity	5	85.21739130434783	1.8896238855659888	0.8450654920065669	2.7764451051977934	82.87111335549463	87.56366925320103	4
Kidney	4	Non-redundant Precision	5	100	0	0	2.7764451051977934	100	100	4
Kidney	4	Inv. Redundancy	5	100	0	0	2.7764451051977934	100	100	4
Kidney	4	1 - FDR	5	100	0	0	2.7764451051977934	100	100	4
Kidney	4	PDR	5	85.21739130434783	1.8896238855659888	0.8450654920065669	2.7764451051977934	82.87111335549463	87.56366925320103	4
Kidney	4	F1	5	92.00975695625256	1.105469755398246	0.4943811040281086	2.7764451051977934	90.63713495987143	93.38237895263369	4
Kidney	5	Sensitivity	1	86.95652173913044	NA	NA	NA	NA	NA	5
Kidney	5	Non-redundant Precision	1	100	NA	NA	NA	NA	NA	5
Kidney	5	Inv. Redundancy	1	100	NA	NA	NA	NA	NA	5
Kidney	5	1 - FDR	1	100	NA	NA	NA	NA	NA	5
Kidney	5	PDR	1	86.95652173913044	NA	NA	NA	NA	NA	5
Kidney	5	F1	1	93.02325581395348	NA	NA	NA	NA	NA	5
