Tissue	Samples	Combo	Metric	Value	SamplesLabel	figure_id	panel_id	dataset	N	Mean	SD	SE	CI_lower	CI_upper	Sample	Type	Sn	nrPre	1/red	1-FDR	PDR	rPre
Brain	1	B31.isoforms	Sensitivity	78.125	1	fig-5	5b_points	5b_points	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brain	1	B31.isoforms	Non-redundant Precision	69.44444444444444	1	fig-5	5b_points	5b_points	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brain	1	B31.isoforms	Inv. Redundancy	80	1	fig-5	5b_points	5b_points	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brain	1	B31.isoforms	1 - FDR	69.44444444444444	1	fig-5	5b_points	5b_points	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brain	1	B31.isoforms	PDR	87.5	1	fig-5	5b_points	5b_points	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brain	1	B31.isoforms	F1	73.52941176470587	1	fig-5	5b_points	5b_points	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brain	1	B32.isoforms	Sensitivity	73.4375	1	fig-5	5b_points	5b_points	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brain	1	B32.isoforms	Non-redundant Precision	64.38356164383562	1	fig-5	5b_points	5b_points	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brain	1	B32.isoforms	Inv. Redundancy	80.30303030303031	1	fig-5	5b_points	5b_points	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brain	1	B32.isoforms	1 - FDR	64.38356164383562	1	fig-5	5b_points	5b_points	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brain	1	B32.isoforms	PDR	82.8125	1	fig-5	5b_points	5b_points	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brain	1	B32.isoforms	F1	68.61313868613139	1	fig-5	5b_points	5b_points	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brain	1	B33.isoforms	Sensitivity	76.5625	1	fig-5	5b_points	5b_points	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brain	1	B33.isoforms	Non-redundant Precision	65.33333333333333	1	fig-5	5b_points	5b_points	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brain	1	B33.isoforms	Inv. Redundancy	76.81159420289856	1	fig-5	5b_points	5b_points	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brain	1	B33.isoforms	1 - FDR	65.33333333333333	1	fig-5	5b_points	5b_points	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brain	1	B33.isoforms	PDR	82.8125	1	fig-5	5b_points	5b_points	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brain	1	B33.isoforms	F1	70.50359712230217	1	fig-5	5b_points	5b_points	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brain	1	B34.isoforms	Sensitivity	67.1875	1	fig-5	5b_points	5b_points	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brain	1	B34.isoforms	Non-redundant Precision	59.72222222222222	1	fig-5	5b_points	5b_points	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brain	1	B34.isoforms	Inv. Redundancy	77.61194029850745	1	fig-5	5b_points	5b_points	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brain	1	B34.isoforms	1 - FDR	59.72222222222222	1	fig-5	5b_points	5b_points	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brain	1	B34.isoforms	PDR	81.25	1	fig-5	5b_points	5b_points	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brain	1	B34.isoforms	F1	63.23529411764704	1	fig-5	5b_points	5b_points	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brain	1	B35.isoforms	Sensitivity	70.3125	1	fig-5	5b_points	5b_points	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brain	1	B35.isoforms	Non-redundant Precision	62.5	1	fig-5	5b_points	5b_points	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brain	1	B35.isoforms	Inv. Redundancy	79.10447761194031	1	fig-5	5b_points	5b_points	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brain	1	B35.isoforms	1 - FDR	62.5	1	fig-5	5b_points	5b_points	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brain	1	B35.isoforms	PDR	82.8125	1	fig-5	5b_points	5b_points	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brain	1	B35.isoforms	F1	66.17647058823529	1	fig-5	5b_points	5b_points	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brain	2	B31_B32	Sensitivity	71.875	2	fig-5	5b_points	5b_points	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brain	2	B31_B32	Non-redundant Precision	88.46153846153845	2	fig-5	5b_points	5b_points	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brain	2	B31_B32	Inv. Redundancy	100	2	fig-5	5b_points	5b_points	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brain	2	B31_B32	1 - FDR	88.46153846153847	2	fig-5	5b_points	5b_points	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brain	2	B31_B32	PDR	78.125	2	fig-5	5b_points	5b_points	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brain	2	B31_B32	F1	79.3103448275862	2	fig-5	5b_points	5b_points	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brain	2	B31_B33	Sensitivity	75	2	fig-5	5b_points	5b_points	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brain	2	B31_B33	Non-redundant Precision	90.56603773584906	2	fig-5	5b_points	5b_points	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brain	2	B31_B33	Inv. Redundancy	100	2	fig-5	5b_points	5b_points	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brain	2	B31_B33	1 - FDR	90.56603773584904	2	fig-5	5b_points	5b_points	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brain	2	B31_B33	PDR	79.6875	2	fig-5	5b_points	5b_points	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brain	2	B31_B33	F1	82.05128205128206	2	fig-5	5b_points	5b_points	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brain	2	B31_B34	Sensitivity	71.875	2	fig-5	5b_points	5b_points	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brain	2	B31_B34	Non-redundant Precision	88.46153846153845	2	fig-5	5b_points	5b_points	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brain	2	B31_B34	Inv. Redundancy	100	2	fig-5	5b_points	5b_points	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brain	2	B31_B34	1 - FDR	88.46153846153847	2	fig-5	5b_points	5b_points	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brain	2	B31_B34	PDR	78.125	2	fig-5	5b_points	5b_points	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brain	2	B31_B34	F1	79.3103448275862	2	fig-5	5b_points	5b_points	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brain	2	B31_B35	Sensitivity	71.875	2	fig-5	5b_points	5b_points	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brain	2	B31_B35	Non-redundant Precision	88.46153846153845	2	fig-5	5b_points	5b_points	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brain	2	B31_B35	Inv. Redundancy	100	2	fig-5	5b_points	5b_points	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brain	2	B31_B35	1 - FDR	88.46153846153847	2	fig-5	5b_points	5b_points	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brain	2	B31_B35	PDR	78.125	2	fig-5	5b_points	5b_points	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brain	2	B31_B35	F1	79.3103448275862	2	fig-5	5b_points	5b_points	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brain	2	B32_B33	Sensitivity	73.4375	2	fig-5	5b_points	5b_points	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brain	2	B32_B33	Non-redundant Precision	90.3846153846154	2	fig-5	5b_points	5b_points	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brain	2	B32_B33	Inv. Redundancy	100	2	fig-5	5b_points	5b_points	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brain	2	B32_B33	1 - FDR	90.3846153846154	2	fig-5	5b_points	5b_points	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brain	2	B32_B33	PDR	78.125	2	fig-5	5b_points	5b_points	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brain	2	B32_B33	F1	81.0344827586207	2	fig-5	5b_points	5b_points	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brain	2	B32_B34	Sensitivity	70.3125	2	fig-5	5b_points	5b_points	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brain	2	B32_B34	Non-redundant Precision	86.53846153846155	2	fig-5	5b_points	5b_points	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brain	2	B32_B34	Inv. Redundancy	100	2	fig-5	5b_points	5b_points	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brain	2	B32_B34	1 - FDR	86.53846153846153	2	fig-5	5b_points	5b_points	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brain	2	B32_B34	PDR	76.5625	2	fig-5	5b_points	5b_points	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brain	2	B32_B34	F1	77.58620689655173	2	fig-5	5b_points	5b_points	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brain	2	B32_B35	Sensitivity	70.3125	2	fig-5	5b_points	5b_points	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brain	2	B32_B35	Non-redundant Precision	86.53846153846155	2	fig-5	5b_points	5b_points	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brain	2	B32_B35	Inv. Redundancy	100	2	fig-5	5b_points	5b_points	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brain	2	B32_B35	1 - FDR	86.53846153846153	2	fig-5	5b_points	5b_points	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brain	2	B32_B35	PDR	76.5625	2	fig-5	5b_points	5b_points	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brain	2	B32_B35	F1	77.58620689655173	2	fig-5	5b_points	5b_points	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brain	2	B33_B34	Sensitivity	71.875	2	fig-5	5b_points	5b_points	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brain	2	B33_B34	Non-redundant Precision	90.19607843137256	2	fig-5	5b_points	5b_points	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brain	2	B33_B34	Inv. Redundancy	100	2	fig-5	5b_points	5b_points	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brain	2	B33_B34	1 - FDR	90.19607843137254	2	fig-5	5b_points	5b_points	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brain	2	B33_B34	PDR	76.5625	2	fig-5	5b_points	5b_points	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brain	2	B33_B34	F1	80	2	fig-5	5b_points	5b_points	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brain	2	B33_B35	Sensitivity	71.875	2	fig-5	5b_points	5b_points	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brain	2	B33_B35	Non-redundant Precision	90.19607843137256	2	fig-5	5b_points	5b_points	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brain	2	B33_B35	Inv. Redundancy	100	2	fig-5	5b_points	5b_points	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brain	2	B33_B35	1 - FDR	90.19607843137254	2	fig-5	5b_points	5b_points	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brain	2	B33_B35	PDR	76.5625	2	fig-5	5b_points	5b_points	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brain	2	B33_B35	F1	80	2	fig-5	5b_points	5b_points	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brain	2	B34_B35	Sensitivity	70.3125	2	fig-5	5b_points	5b_points	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brain	2	B34_B35	Non-redundant Precision	86.53846153846155	2	fig-5	5b_points	5b_points	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brain	2	B34_B35	Inv. Redundancy	100	2	fig-5	5b_points	5b_points	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brain	2	B34_B35	1 - FDR	86.53846153846153	2	fig-5	5b_points	5b_points	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brain	2	B34_B35	PDR	76.5625	2	fig-5	5b_points	5b_points	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brain	2	B34_B35	F1	77.58620689655173	2	fig-5	5b_points	5b_points	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brain	3	B31_B32_B33	Sensitivity	75	3	fig-5	5b_points	5b_points	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brain	3	B31_B32_B33	Non-redundant Precision	90.56603773584906	3	fig-5	5b_points	5b_points	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brain	3	B31_B32_B33	Inv. Redundancy	100	3	fig-5	5b_points	5b_points	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brain	3	B31_B32_B33	1 - FDR	90.56603773584904	3	fig-5	5b_points	5b_points	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brain	3	B31_B32_B33	PDR	79.6875	3	fig-5	5b_points	5b_points	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brain	3	B31_B32_B33	F1	82.05128205128206	3	fig-5	5b_points	5b_points	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brain	3	B31_B32_B34	Sensitivity	73.4375	3	fig-5	5b_points	5b_points	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brain	3	B31_B32_B34	Non-redundant Precision	87.03703703703704	3	fig-5	5b_points	5b_points	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brain	3	B31_B32_B34	Inv. Redundancy	100	3	fig-5	5b_points	5b_points	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brain	3	B31_B32_B34	1 - FDR	87.03703703703704	3	fig-5	5b_points	5b_points	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brain	3	B31_B32_B34	PDR	79.6875	3	fig-5	5b_points	5b_points	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brain	3	B31_B32_B34	F1	79.66101694915254	3	fig-5	5b_points	5b_points	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brain	3	B31_B32_B35	Sensitivity	73.4375	3	fig-5	5b_points	5b_points	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brain	3	B31_B32_B35	Non-redundant Precision	87.03703703703704	3	fig-5	5b_points	5b_points	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brain	3	B31_B32_B35	Inv. Redundancy	100	3	fig-5	5b_points	5b_points	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brain	3	B31_B32_B35	1 - FDR	87.03703703703704	3	fig-5	5b_points	5b_points	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brain	3	B31_B32_B35	PDR	79.6875	3	fig-5	5b_points	5b_points	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brain	3	B31_B32_B35	F1	79.66101694915254	3	fig-5	5b_points	5b_points	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brain	3	B31_B33_B34	Sensitivity	76.5625	3	fig-5	5b_points	5b_points	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brain	3	B31_B33_B34	Non-redundant Precision	90.74074074074076	3	fig-5	5b_points	5b_points	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brain	3	B31_B33_B34	Inv. Redundancy	100	3	fig-5	5b_points	5b_points	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brain	3	B31_B33_B34	1 - FDR	90.74074074074072	3	fig-5	5b_points	5b_points	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brain	3	B31_B33_B34	PDR	81.25	3	fig-5	5b_points	5b_points	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brain	3	B31_B33_B34	F1	83.05084745762711	3	fig-5	5b_points	5b_points	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brain	3	B31_B33_B35	Sensitivity	76.5625	3	fig-5	5b_points	5b_points	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brain	3	B31_B33_B35	Non-redundant Precision	90.74074074074076	3	fig-5	5b_points	5b_points	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brain	3	B31_B33_B35	Inv. Redundancy	100	3	fig-5	5b_points	5b_points	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brain	3	B31_B33_B35	1 - FDR	90.74074074074072	3	fig-5	5b_points	5b_points	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brain	3	B31_B33_B35	PDR	81.25	3	fig-5	5b_points	5b_points	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brain	3	B31_B33_B35	F1	83.05084745762711	3	fig-5	5b_points	5b_points	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brain	3	B31_B34_B35	Sensitivity	73.4375	3	fig-5	5b_points	5b_points	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brain	3	B31_B34_B35	Non-redundant Precision	87.03703703703704	3	fig-5	5b_points	5b_points	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brain	3	B31_B34_B35	Inv. Redundancy	100	3	fig-5	5b_points	5b_points	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
