Tissue	Samples	Combo	Metric	Value	SamplesLabel	figure_id	panel_id	dataset	N	Mean	SD	SE	CI_lower	CI_upper
Brain	1	B31.isoforms	Sensitivity	84.05797101449275	1	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	1	B31.isoforms	Non-redundant Precision	98.30508474576273	1	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	1	B31.isoforms	Inv. Redundancy	100	1	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	1	B31.isoforms	1 - FDR	98.30508474576273	1	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	1	B31.isoforms	PDR	84.05797101449275	1	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	1	B31.isoforms	F1	90.625	1	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	1	B32.isoforms	Sensitivity	86.95652173913044	1	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	1	B32.isoforms	Non-redundant Precision	100	1	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	1	B32.isoforms	Inv. Redundancy	100	1	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	1	B32.isoforms	1 - FDR	100	1	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	1	B32.isoforms	PDR	86.95652173913044	1	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	1	B32.isoforms	F1	93.02325581395348	1	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	1	B33.isoforms	Sensitivity	84.05797101449275	1	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	1	B33.isoforms	Non-redundant Precision	100	1	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	1	B33.isoforms	Inv. Redundancy	100	1	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	1	B33.isoforms	1 - FDR	100	1	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	1	B33.isoforms	PDR	84.05797101449275	1	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	1	B33.isoforms	F1	91.33858267716536	1	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	1	B34.isoforms	Sensitivity	88.40579710144928	1	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	1	B34.isoforms	Non-redundant Precision	98.38709677419357	1	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	1	B34.isoforms	Inv. Redundancy	100	1	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	1	B34.isoforms	1 - FDR	98.38709677419357	1	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	1	B34.isoforms	PDR	88.40579710144928	1	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	1	B34.isoforms	F1	93.12977099236642	1	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	1	B35.isoforms	Sensitivity	86.95652173913044	1	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	1	B35.isoforms	Non-redundant Precision	100	1	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	1	B35.isoforms	Inv. Redundancy	100	1	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	1	B35.isoforms	1 - FDR	100	1	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	1	B35.isoforms	PDR	86.95652173913044	1	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	1	B35.isoforms	F1	93.02325581395348	1	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	2	B31_B32	Sensitivity	82.6086956521739	2	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	2	B31_B32	Non-redundant Precision	100	2	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	2	B31_B32	Inv. Redundancy	100	2	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	2	B31_B32	1 - FDR	100	2	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	2	B31_B32	PDR	82.6086956521739	2	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	2	B31_B32	F1	90.47619047619048	2	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	2	B31_B33	Sensitivity	79.71014492753623	2	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	2	B31_B33	Non-redundant Precision	100	2	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	2	B31_B33	Inv. Redundancy	100	2	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	2	B31_B33	1 - FDR	100	2	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	2	B31_B33	PDR	79.71014492753623	2	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	2	B31_B33	F1	88.70967741935483	2	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	2	B31_B34	Sensitivity	82.6086956521739	2	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	2	B31_B34	Non-redundant Precision	100	2	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	2	B31_B34	Inv. Redundancy	100	2	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	2	B31_B34	1 - FDR	100	2	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	2	B31_B34	PDR	82.6086956521739	2	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	2	B31_B34	F1	90.47619047619048	2	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	2	B31_B35	Sensitivity	82.6086956521739	2	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	2	B31_B35	Non-redundant Precision	100	2	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	2	B31_B35	Inv. Redundancy	100	2	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	2	B31_B35	1 - FDR	100	2	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	2	B31_B35	PDR	82.6086956521739	2	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	2	B31_B35	F1	90.47619047619048	2	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	2	B32_B33	Sensitivity	82.6086956521739	2	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	2	B32_B33	Non-redundant Precision	100	2	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	2	B32_B33	Inv. Redundancy	100	2	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	2	B32_B33	1 - FDR	100	2	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	2	B32_B33	PDR	82.6086956521739	2	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	2	B32_B33	F1	90.47619047619048	2	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	2	B32_B34	Sensitivity	85.5072463768116	2	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	2	B32_B34	Non-redundant Precision	100	2	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	2	B32_B34	Inv. Redundancy	100	2	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	2	B32_B34	1 - FDR	100	2	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	2	B32_B34	PDR	85.5072463768116	2	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	2	B32_B34	F1	92.1875	2	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	2	B32_B35	Sensitivity	85.5072463768116	2	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	2	B32_B35	Non-redundant Precision	100	2	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	2	B32_B35	Inv. Redundancy	100	2	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	2	B32_B35	1 - FDR	100	2	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	2	B32_B35	PDR	85.5072463768116	2	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	2	B32_B35	F1	92.1875	2	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	2	B33_B34	Sensitivity	82.6086956521739	2	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	2	B33_B34	Non-redundant Precision	100	2	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	2	B33_B34	Inv. Redundancy	100	2	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	2	B33_B34	1 - FDR	100	2	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	2	B33_B34	PDR	82.6086956521739	2	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	2	B33_B34	F1	90.47619047619048	2	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	2	B33_B35	Sensitivity	82.6086956521739	2	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	2	B33_B35	Non-redundant Precision	100	2	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	2	B33_B35	Inv. Redundancy	100	2	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	2	B33_B35	1 - FDR	100	2	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	2	B33_B35	PDR	82.6086956521739	2	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	2	B33_B35	F1	90.47619047619048	2	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	2	B34_B35	Sensitivity	85.5072463768116	2	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	2	B34_B35	Non-redundant Precision	100	2	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	2	B34_B35	Inv. Redundancy	100	2	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	2	B34_B35	1 - FDR	100	2	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	2	B34_B35	PDR	85.5072463768116	2	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	2	B34_B35	F1	92.1875	2	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	3	B31_B32_B33	Sensitivity	85.5072463768116	3	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	3	B31_B32_B33	Non-redundant Precision	100	3	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	3	B31_B32_B33	Inv. Redundancy	100	3	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	3	B31_B32_B33	1 - FDR	100	3	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	3	B31_B32_B33	PDR	85.5072463768116	3	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	3	B31_B32_B33	F1	92.1875	3	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	3	B31_B32_B34	Sensitivity	85.5072463768116	3	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	3	B31_B32_B34	Non-redundant Precision	100	3	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	3	B31_B32_B34	Inv. Redundancy	100	3	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	3	B31_B32_B34	1 - FDR	100	3	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	3	B31_B32_B34	PDR	85.5072463768116	3	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	3	B31_B32_B34	F1	92.1875	3	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	3	B31_B32_B35	Sensitivity	85.5072463768116	3	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	3	B31_B32_B35	Non-redundant Precision	100	3	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	3	B31_B32_B35	Inv. Redundancy	100	3	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	3	B31_B32_B35	1 - FDR	100	3	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	3	B31_B32_B35	PDR	85.5072463768116	3	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	3	B31_B32_B35	F1	92.1875	3	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	3	B31_B33_B34	Sensitivity	85.5072463768116	3	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	3	B31_B33_B34	Non-redundant Precision	100	3	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	3	B31_B33_B34	Inv. Redundancy	100	3	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	3	B31_B33_B34	1 - FDR	100	3	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	3	B31_B33_B34	PDR	85.5072463768116	3	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	3	B31_B33_B34	F1	92.1875	3	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	3	B31_B33_B35	Sensitivity	85.5072463768116	3	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	3	B31_B33_B35	Non-redundant Precision	100	3	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	3	B31_B33_B35	Inv. Redundancy	100	3	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	3	B31_B33_B35	1 - FDR	100	3	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	3	B31_B33_B35	PDR	85.5072463768116	3	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	3	B31_B33_B35	F1	92.1875	3	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	3	B31_B34_B35	Sensitivity	85.5072463768116	3	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	3	B31_B34_B35	Non-redundant Precision	100	3	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	3	B31_B34_B35	Inv. Redundancy	100	3	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	3	B31_B34_B35	1 - FDR	100	3	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	3	B31_B34_B35	PDR	85.5072463768116	3	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	3	B31_B34_B35	F1	92.1875	3	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	3	B32_B33_B34	Sensitivity	85.5072463768116	3	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	3	B32_B33_B34	Non-redundant Precision	100	3	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	3	B32_B33_B34	Inv. Redundancy	100	3	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	3	B32_B33_B34	1 - FDR	100	3	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	3	B32_B33_B34	PDR	85.5072463768116	3	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	3	B32_B33_B34	F1	92.1875	3	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	3	B32_B33_B35	Sensitivity	85.5072463768116	3	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	3	B32_B33_B35	Non-redundant Precision	100	3	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	3	B32_B33_B35	Inv. Redundancy	100	3	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	3	B32_B33_B35	1 - FDR	100	3	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	3	B32_B33_B35	PDR	85.5072463768116	3	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	3	B32_B33_B35	F1	92.1875	3	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	3	B32_B34_B35	Sensitivity	85.5072463768116	3	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	3	B32_B34_B35	Non-redundant Precision	100	3	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	3	B32_B34_B35	Inv. Redundancy	100	3	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	3	B32_B34_B35	1 - FDR	100	3	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	3	B32_B34_B35	PDR	85.5072463768116	3	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	3	B32_B34_B35	F1	92.1875	3	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	3	B33_B34_B35	Sensitivity	85.5072463768116	3	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	3	B33_B34_B35	Non-redundant Precision	100	3	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	3	B33_B34_B35	Inv. Redundancy	100	3	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	3	B33_B34_B35	1 - FDR	100	3	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
Brain	3	B33_B34_B35	PDR	85.5072463768116	3	fig-s6	s6_points	s6_points	NA	NA	NA	NA	NA	NA
