GeneID	FilterReason
ENSG00000289604	Splice/TSS Filter (TSS Mismatch)
ENSG00000182782	Splice/TSS Filter (Alternative TSS (Multiple Overlaps))
ENSG00000168792	Passed
ENSG00000271567	Expression+Alphagenome Filter
ENSG00000284635	Expression+Alphagenome Filter
ENSG00000125816	Splice/TSS Filter (Novel Splice Junction)
ENSG00000226761	Expression+Alphagenome Filter
ENSG00000261594	Splice/TSS Filter (Alternative TSS (Multiple Overlaps))
ENSG00000171450	Splice/TSS Filter (Alternative TSS (Multiple Overlaps))
ENSG00000274618	Splice/TSS Filter (Alternative TSS (Multiple Overlaps))
ENSG00000236125	Expression+Alphagenome Filter
ENSG00000187690	Splice/TSS Filter (Alternative TSS (Multiple Overlaps))
ENSG00000178718	Splice/TSS Filter (Alternative TSS (Multiple Overlaps))
ENSG00000130427	Splice/TSS Filter (Novel Splice Junction)
ENSG00000230594	Expression+Alphagenome Filter
ENSG00000176540	Expression+Alphagenome Filter
ENSG00000285566	Expression+Alphagenome Filter
ENSG00000176399	Expression+Alphagenome Filter
ENSG00000250782	Expression+Alphagenome Filter
ENSG00000187566	Expression+Alphagenome Filter
ENSG00000065060	Splice/TSS Filter (Novel Splice Junction)
ENSG00000215695	Splice/TSS Filter (TSS Mismatch)
ENSG00000198944	Splice/TSS Filter (Alternative TSS (Multiple Overlaps))
ENSG00000171478	Expression+Alphagenome Filter
ENSG00000288608	Expression+Alphagenome Filter
ENSG00000204703	Expression+Alphagenome Filter
ENSG00000145384	Expression+Alphagenome Filter
ENSG00000139797	Expression+Alphagenome Filter
ENSG00000121381	Expression+Alphagenome Filter
ENSG00000179673	Splice/TSS Filter (Alternative TSS (>1 CAGE peak within ±300bp))
ENSG00000203737	Splice/TSS Filter (Alternative TSS (>1 CAGE peak within ±300bp))
ENSG00000124659	Splice/TSS Filter (Alternative TSS (>1 CAGE peak within ±300bp))
ENSG00000241123	Expression+Alphagenome Filter
ENSG00000284546	Expression+Alphagenome Filter
ENSG00000227140	Expression+Alphagenome Filter
ENSG00000253148	Splice/TSS Filter (Novel Splice Junction)
ENSG00000256537	Splice/TSS Filter (Alternative TSS (Multiple Overlaps))
ENSG00000227717	Splice/TSS Filter (Novel Splice Junction)
ENSG00000275713	Splice/TSS Filter (Alternative TSS (Multiple Overlaps))
ENSG00000124827	Splice/TSS Filter (Novel Splice Junction)
ENSG00000204542	Expression+Alphagenome Filter
ENSG00000284723	Expression+Alphagenome Filter
ENSG00000187475	Splice/TSS Filter (Alternative TSS (Multiple Overlaps))
ENSG00000276430	Splice/TSS Filter (Novel Splice Junction)
ENSG00000112378	Expression+Alphagenome Filter
ENSG00000164825	Expression+Alphagenome Filter
ENSG00000181467	Splice/TSS Filter (Alternative TSS (Multiple Overlaps))
ENSG00000159184	Expression+Alphagenome Filter
ENSG00000185982	Splice/TSS Filter (Novel Splice Junction)
ENSG00000181023	Expression+Alphagenome Filter
ENSG00000189134	Splice/TSS Filter (Alternative TSS (Multiple Overlaps))
ENSG00000243543	Splice/TSS Filter (Novel Splice Junction)
ENSG00000205029	Expression+Alphagenome Filter
ENSG00000257594	Splice/TSS Filter (Alternative TSS (Multiple Overlaps))
ENSG00000171864	Expression+Alphagenome Filter
ENSG00000247626	Passed
ENSG00000128519	Expression+Alphagenome Filter
ENSG00000198225	Splice/TSS Filter (Alternative TSS (Multiple Overlaps))
ENSG00000132703	Expression+Alphagenome Filter
ENSG00000101435	Splice/TSS Filter (Novel Splice Junction)
ENSG00000284725	Expression+Alphagenome Filter
ENSG00000183024	Expression+Alphagenome Filter
ENSG00000277157	Splice/TSS Filter (Alternative TSS (Multiple Overlaps))
ENSG00000164778	Expression+Alphagenome Filter
ENSG00000172208	Expression+Alphagenome Filter
ENSG00000204478	Splice/TSS Filter (Novel Splice Junction)
ENSG00000284638	Splice/TSS Filter (Novel Splice Junction)
ENSG00000109208	Expression+Alphagenome Filter
ENSG00000185940	Splice/TSS Filter (TSS Mismatch)
ENSG00000057468	Splice/TSS Filter (Novel Splice Junction)
ENSG00000177476	Expression+Alphagenome Filter
ENSG00000186977	Expression+Alphagenome Filter
ENSG00000255398	Expression+Alphagenome Filter
ENSG00000196747	Splice/TSS Filter (Alternative TSS (Multiple Overlaps))
ENSG00000165244	Splice/TSS Filter (Novel Splice Junction)
ENSG00000229579	Expression+Alphagenome Filter
ENSG00000237330	Splice/TSS Filter (Novel Splice Junction)
ENSG00000179041	Splice/TSS Filter (Alternative TSS (Multiple Overlaps))
ENSG00000204019	Expression+Alphagenome Filter
ENSG00000175040	Splice/TSS Filter (Novel Splice Junction)
ENSG00000120075	Splice/TSS Filter (Novel Splice Junction)
ENSG00000170689	Expression+Alphagenome Filter
ENSG00000176269	Expression+Alphagenome Filter
ENSG00000185818	Expression+Alphagenome Filter
ENSG00000255833	Splice/TSS Filter (Novel Splice Junction)
ENSG00000187005	Expression+Alphagenome Filter
ENSG00000143520	Splice/TSS Filter (Novel Splice Junction)
ENSG00000215547	Expression+Alphagenome Filter
ENSG00000254598	Splice/TSS Filter (Alternative TSS (>1 CAGE peak within ±300bp))
ENSG00000182854	Splice/TSS Filter (Novel Splice Junction)
ENSG00000197437	Splice/TSS Filter (Novel Splice Junction)
ENSG00000222018	Expression+Alphagenome Filter
ENSG00000285946	Expression+Alphagenome Filter
ENSG00000187866	Splice/TSS Filter (Alternative TSS (Multiple Overlaps))
ENSG00000198774	Splice/TSS Filter (Novel Splice Junction)
ENSG00000275774	Expression+Alphagenome Filter
ENSG00000198573	Expression+Alphagenome Filter
ENSG00000205667	Splice/TSS Filter (Novel Splice Junction)
ENSG00000172489	Expression+Alphagenome Filter
ENSG00000180318	Splice/TSS Filter (Novel Splice Junction)
ENSG00000187272	Expression+Alphagenome Filter
ENSG00000151005	Splice/TSS Filter (Alternative TSS (Multiple Overlaps))
ENSG00000283227	Expression+Alphagenome Filter
ENSG00000255837	Splice/TSS Filter (TSS Mismatch)
ENSG00000283288	Splice/TSS Filter (Novel Splice Junction)
ENSG00000179918	Passed
ENSG00000196368	Expression+Alphagenome Filter
ENSG00000168631	Splice/TSS Filter (Novel Splice Junction)
ENSG00000130385	Expression+Alphagenome Filter
ENSG00000270339	Expression+Alphagenome Filter
ENSG00000239886	Expression+Alphagenome Filter
ENSG00000221932	Expression+Alphagenome Filter
ENSG00000244624	Expression+Alphagenome Filter
ENSG00000186442	Expression+Alphagenome Filter
ENSG00000177732	Splice/TSS Filter (Alternative TSS (Multiple Overlaps))
ENSG00000256162	Expression+Alphagenome Filter
ENSG00000180386	Expression+Alphagenome Filter
ENSG00000198854	Expression+Alphagenome Filter
ENSG00000169717	Splice/TSS Filter (Alternative TSS (Multiple Overlaps))
ENSG00000177144	Expression+Alphagenome Filter
ENSG00000168582	Splice/TSS Filter (Novel Splice Junction)
ENSG00000144227	Splice/TSS Filter (Novel Splice Junction)
ENSG00000163263	Splice/TSS Filter (Novel Splice Junction)
ENSG00000183134	Expression+Alphagenome Filter
ENSG00000224902	Expression+Alphagenome Filter
ENSG00000170426	Splice/TSS Filter (Novel Splice Junction)
ENSG00000274600	Expression+Alphagenome Filter
ENSG00000151615	Expression+Alphagenome Filter
ENSG00000164729	Expression+Alphagenome Filter
ENSG00000174529	Splice/TSS Filter (TSS Mismatch)
ENSG00000187601	Splice/TSS Filter (Alternative TSS (Multiple Overlaps))
ENSG00000177300	Expression+Alphagenome Filter
ENSG00000221937	Expression+Alphagenome Filter
ENSG00000170279	Splice/TSS Filter (Novel Splice Junction)
ENSG00000266265	Splice/TSS Filter (TSS Mismatch)
ENSG00000198841	Splice/TSS Filter (Alternative TSS (Multiple Overlaps))
ENSG00000187180	Expression+Alphagenome Filter
ENSG00000224659	Expression+Alphagenome Filter
ENSG00000155858	Expression+Alphagenome Filter
ENSG00000214042	Expression+Alphagenome Filter
ENSG00000233136	Expression+Alphagenome Filter
ENSG00000175485	Expression+Alphagenome Filter
ENSG00000187766	Expression+Alphagenome Filter
ENSG00000162817	Passed
ENSG00000118231	Expression+Alphagenome Filter
ENSG00000278588	Splice/TSS Filter (Alternative TSS (Multiple Overlaps))
ENSG00000253506	Expression+Alphagenome Filter
ENSG00000186564	Splice/TSS Filter (Alternative TSS (Multiple Overlaps))
ENSG00000161850	Splice/TSS Filter (Novel Splice Junction)
ENSG00000227151	Expression+Alphagenome Filter
ENSG00000253117	Splice/TSS Filter (Novel Splice Junction)
ENSG00000171014	Splice/TSS Filter (TSS Mismatch)
ENSG00000172188	Splice/TSS Filter (Novel Splice Junction)
ENSG00000123569	Splice/TSS Filter (Novel Splice Junction)
ENSG00000185245	Expression+Alphagenome Filter
ENSG00000225805	Expression+Alphagenome Filter
ENSG00000174145	Splice/TSS Filter (Novel Splice Junction)
ENSG00000186146	Splice/TSS Filter (Novel Splice Junction)
ENSG00000275183	Splice/TSS Filter (Alternative TSS (Multiple Overlaps))
ENSG00000181786	Splice/TSS Filter (Alternative TSS (Multiple Overlaps))
ENSG00000198435	Splice/TSS Filter (Alternative TSS (Multiple Overlaps))
ENSG00000189139	Expression+Alphagenome Filter
ENSG00000204442	Splice/TSS Filter (Novel Splice Junction)
ENSG00000236398	Expression+Alphagenome Filter
ENSG00000177468	Splice/TSS Filter (Alternative TSS (Multiple Overlaps))
ENSG00000228075	Splice/TSS Filter (Alternative TSS (Multiple Overlaps))
ENSG00000164379	Splice/TSS Filter (Alternative TSS (Multiple Overlaps))
ENSG00000143105	Expression+Alphagenome Filter
ENSG00000284718	Expression+Alphagenome Filter
ENSG00000170613	Expression+Alphagenome Filter
ENSG00000204671	Expression+Alphagenome Filter
ENSG00000231861	Expression+Alphagenome Filter
ENSG00000162783	Splice/TSS Filter (Alternative TSS (Multiple Overlaps))
ENSG00000280021	Expression+Alphagenome Filter
ENSG00000149133	Expression+Alphagenome Filter
ENSG00000174937	Expression+Alphagenome Filter
ENSG00000185523	Splice/TSS Filter (Novel Splice Junction)
ENSG00000206013	Splice/TSS Filter (Novel Splice Junction)
ENSG00000212722	Expression+Alphagenome Filter
ENSG00000167359	Expression+Alphagenome Filter
ENSG00000184492	Splice/TSS Filter (TSS Mismatch)
ENSG00000158246	Expression+Alphagenome Filter
ENSG00000276966	Splice/TSS Filter (Alternative TSS (Multiple Overlaps))
ENSG00000288825	Expression+Alphagenome Filter
ENSG00000178201	Splice/TSS Filter (Alternative TSS (Multiple Overlaps))
ENSG00000279111	Splice/TSS Filter (TSS Mismatch)
ENSG00000248483	Expression+Alphagenome Filter
ENSG00000185115	Splice/TSS Filter (Alternative TSS (Multiple Overlaps))
ENSG00000198021	Expression+Alphagenome Filter
ENSG00000189037	Expression+Alphagenome Filter
ENSG00000119614	Splice/TSS Filter (Novel Splice Junction)
ENSG00000197674	Splice/TSS Filter (Novel Splice Junction)
ENSG00000169840	Splice/TSS Filter (Novel Splice Junction)
ENSG00000177047	Splice/TSS Filter (TSS Mismatch)
ENSG00000221910	Expression+Alphagenome Filter
ENSG00000172680	Splice/TSS Filter (TSS Mismatch)
ENSG00000263353	Splice/TSS Filter (TSS Mismatch)
ENSG00000180090	Splice/TSS Filter (Novel Splice Junction)
ENSG00000178358	Expression+Alphagenome Filter
ENSG00000250745	Expression+Alphagenome Filter
ENSG00000231192	Expression+Alphagenome Filter
ENSG00000244623	Splice/TSS Filter (TSS Mismatch)
ENSG00000284373	Expression+Alphagenome Filter
ENSG00000286131	Splice/TSS Filter (Alternative TSS (Multiple Overlaps))
ENSG00000235699	Expression+Alphagenome Filter
ENSG00000188155	Expression+Alphagenome Filter
ENSG00000265203	Splice/TSS Filter (Novel Splice Junction)
ENSG00000182810	Passed
ENSG00000196406	Expression+Alphagenome Filter
ENSG00000119938	Expression+Alphagenome Filter
ENSG00000249811	Expression+Alphagenome Filter
ENSG00000214415	Splice/TSS Filter (Novel Splice Junction)
ENSG00000203989	Splice/TSS Filter (Novel Splice Junction)
ENSG00000177257	Expression+Alphagenome Filter
ENSG00000188763	Expression+Alphagenome Filter
ENSG00000287080	Splice/TSS Filter (Alternative TSS (Multiple Overlaps))
ENSG00000171501	Expression+Alphagenome Filter
ENSG00000124610	Splice/TSS Filter (Alternative TSS (Multiple Overlaps))
ENSG00000132467	Splice/TSS Filter (Alternative TSS (Multiple Overlaps))
ENSG00000162399	Splice/TSS Filter (Novel Splice Junction)
ENSG00000204918	Splice/TSS Filter (Novel Splice Junction)
ENSG00000215817	Splice/TSS Filter (Novel Splice Junction)
ENSG00000203926	Expression+Alphagenome Filter
ENSG00000204103	Splice/TSS Filter (Alternative TSS (Multiple Overlaps))
ENSG00000133020	Splice/TSS Filter (Novel Splice Junction)
ENSG00000186788	Splice/TSS Filter (Novel Splice Junction)
ENSG00000172150	Expression+Alphagenome Filter
ENSG00000241149	Splice/TSS Filter (Novel Splice Junction)
ENSG00000253719	Splice/TSS Filter (Alternative TSS (Multiple Overlaps))
ENSG00000181552	Expression+Alphagenome Filter
ENSG00000277745	Splice/TSS Filter (TSS Mismatch)
ENSG00000175398	Expression+Alphagenome Filter
ENSG00000196589	Expression+Alphagenome Filter
ENSG00000183303	Expression+Alphagenome Filter
ENSG00000162763	Splice/TSS Filter (Novel Splice Junction)
ENSG00000204873	Expression+Alphagenome Filter
ENSG00000187559	Expression+Alphagenome Filter
ENSG00000188771	Splice/TSS Filter (Novel Splice Junction)
ENSG00000184895	Expression+Alphagenome Filter
ENSG00000178021	Splice/TSS Filter (Alternative TSS (Multiple Overlaps))
ENSG00000205327	Expression+Alphagenome Filter
ENSG00000239590	Expression+Alphagenome Filter
ENSG00000188305	Splice/TSS Filter (Novel Splice Junction)
ENSG00000179055	Expression+Alphagenome Filter
ENSG00000135312	Splice/TSS Filter (Alternative TSS (Multiple Overlaps))
ENSG00000112273	Splice/TSS Filter (Alternative TSS (Multiple Overlaps))
ENSG00000234829	Expression+Alphagenome Filter
ENSG00000255582	Expression+Alphagenome Filter
ENSG00000130950	Splice/TSS Filter (Novel Splice Junction)
ENSG00000256188	Splice/TSS Filter (TSS Mismatch)
ENSG00000176239	Expression+Alphagenome Filter
ENSG00000128709	Expression+Alphagenome Filter
ENSG00000136834	Expression+Alphagenome Filter
ENSG00000203784	Expression+Alphagenome Filter
ENSG00000283697	Expression+Alphagenome Filter
ENSG00000186860	Splice/TSS Filter (Alternative TSS (Multiple Overlaps))
ENSG00000186971	Splice/TSS Filter (TSS Mismatch)
ENSG00000269433	Splice/TSS Filter (Novel Splice Junction)
ENSG00000123165	Expression+Alphagenome Filter
ENSG00000182334	Expression+Alphagenome Filter
ENSG00000150244	Expression+Alphagenome Filter
ENSG00000232838	Splice/TSS Filter (Novel Splice Junction)
ENSG00000275663	Splice/TSS Filter (TSS Mismatch)
ENSG00000284643	Expression+Alphagenome Filter
ENSG00000186599	Splice/TSS Filter (Novel Splice Junction)
ENSG00000221821	Passed
ENSG00000180138	Splice/TSS Filter (TSS Mismatch)
ENSG00000230707	Expression+Alphagenome Filter
ENSG00000196475	Splice/TSS Filter (Alternative TSS (>1 CAGE peak within ±300bp))
ENSG00000236027	Splice/TSS Filter (Novel Splice Junction)
ENSG00000132671	Splice/TSS Filter (TSS Mismatch)
ENSG00000182968	Splice/TSS Filter (Alternative TSS (Multiple Overlaps))
ENSG00000197296	Expression+Alphagenome Filter
ENSG00000185758	Expression+Alphagenome Filter
ENSG00000187068	Splice/TSS Filter (Novel Splice Junction)
ENSG00000187166	Splice/TSS Filter (TSS Mismatch)
ENSG00000101825	Splice/TSS Filter (Novel Splice Junction)
ENSG00000156575	Splice/TSS Filter (Novel Splice Junction)
ENSG00000288623	Splice/TSS Filter (TSS Mismatch)
ENSG00000186572	Expression+Alphagenome Filter
ENSG00000181001	Splice/TSS Filter (Novel Splice Junction)
ENSG00000204450	Splice/TSS Filter (Novel Splice Junction)
ENSG00000223496	Passed
ENSG00000182742	Splice/TSS Filter (Novel Splice Junction)
ENSG00000212122	Splice/TSS Filter (Alternative TSS (Multiple Overlaps))
ENSG00000270170	Passed
ENSG00000225110	Splice/TSS Filter (Novel Splice Junction)
ENSG00000170027	Passed
ENSG00000234224	Splice/TSS Filter (Alternative TSS (Multiple Overlaps))
ENSG00000198083	Splice/TSS Filter (TSS Mismatch)
ENSG00000122728	Expression+Alphagenome Filter
ENSG00000188375	Splice/TSS Filter (Alternative TSS (Multiple Overlaps))
ENSG00000273820	Splice/TSS Filter (Alternative TSS (Multiple Overlaps))
ENSG00000198812	Splice/TSS Filter (Alternative TSS (Multiple Overlaps))
ENSG00000130037	Splice/TSS Filter (Alternative TSS (Multiple Overlaps))
ENSG00000198443	Expression+Alphagenome Filter
ENSG00000111049	Splice/TSS Filter (Novel Splice Junction)
ENSG00000183779	Passed
ENSG00000170549	Splice/TSS Filter (Novel Splice Junction)
ENSG00000180433	Expression+Alphagenome Filter
ENSG00000152591	Splice/TSS Filter (Novel Splice Junction)
ENSG00000175283	Splice/TSS Filter (Alternative TSS (Multiple Overlaps))
ENSG00000160994	Splice/TSS Filter (Novel Splice Junction)
ENSG00000261794	Splice/TSS Filter (Novel Splice Junction)
ENSG00000167916	Expression+Alphagenome Filter
ENSG00000183161	Splice/TSS Filter (Alternative TSS (Multiple Overlaps))
ENSG00000221864	Splice/TSS Filter (TSS Mismatch)
ENSG00000102128	Splice/TSS Filter (TSS Mismatch)
ENSG00000262628	Expression+Alphagenome Filter
ENSG00000204511	Expression+Alphagenome Filter
ENSG00000175077	Expression+Alphagenome Filter
ENSG00000125878	Expression+Alphagenome Filter
ENSG00000120057	Expression+Alphagenome Filter
ENSG00000120289	Splice/TSS Filter (Alternative TSS (Multiple Overlaps))
ENSG00000143185	Expression+Alphagenome Filter
ENSG00000214336	Splice/TSS Filter (Novel Splice Junction)
ENSG00000187082	Expression+Alphagenome Filter
ENSG00000197786	Expression+Alphagenome Filter
ENSG00000243056	Splice/TSS Filter (Novel Splice Junction)
ENSG00000288867	Splice/TSS Filter (TSS Mismatch)
ENSG00000163794	Expression+Alphagenome Filter
ENSG00000176797	Expression+Alphagenome Filter
ENSG00000184785	Splice/TSS Filter (Alternative TSS (Multiple Overlaps))
ENSG00000250254	Expression+Alphagenome Filter
ENSG00000125285	Splice/TSS Filter (Alternative TSS (Multiple Overlaps))
ENSG00000160182	Expression+Alphagenome Filter
ENSG00000205864	Expression+Alphagenome Filter
ENSG00000027644	Splice/TSS Filter (Novel Splice Junction)
ENSG00000255009	Expression+Alphagenome Filter
ENSG00000228607	Expression+Alphagenome Filter
ENSG00000189030	Expression+Alphagenome Filter
ENSG00000253598	Splice/TSS Filter (Alternative TSS (>1 CAGE peak within ±300bp))
ENSG00000101890	Splice/TSS Filter (Novel Splice Junction)
ENSG00000198452	Splice/TSS Filter (Novel Splice Junction)
ENSG00000280789	Passed
ENSG00000109272	Expression+Alphagenome Filter
ENSG00000186924	Expression+Alphagenome Filter
ENSG00000146066	Passed
ENSG00000215853	Splice/TSS Filter (Novel Splice Junction)
ENSG00000174957	Expression+Alphagenome Filter
ENSG00000255150	Splice/TSS Filter (Alternative TSS (Multiple Overlaps))
ENSG00000269526	Expression+Alphagenome Filter
ENSG00000168131	Expression+Alphagenome Filter
ENSG00000279051	Expression+Alphagenome Filter
ENSG00000197191	Expression+Alphagenome Filter
ENSG00000176422	Expression+Alphagenome Filter
ENSG00000139330	Splice/TSS Filter (Novel Splice Junction)
ENSG00000185069	Splice/TSS Filter (Novel Splice Junction)
ENSG00000288614	Expression+Alphagenome Filter
ENSG00000185915	Splice/TSS Filter (Alternative TSS (Multiple Overlaps))
ENSG00000198678	Expression+Alphagenome Filter
ENSG00000226023	Splice/TSS Filter (Novel Splice Junction)
ENSG00000137273	Expression+Alphagenome Filter
ENSG00000172154	Expression+Alphagenome Filter
ENSG00000177275	Expression+Alphagenome Filter
ENSG00000198173	Splice/TSS Filter (TSS Mismatch)
ENSG00000214642	Expression+Alphagenome Filter
ENSG00000284484	Splice/TSS Filter (Novel Splice Junction)
ENSG00000187238	Expression+Alphagenome Filter
ENSG00000274183	Expression+Alphagenome Filter
ENSG00000177243	Expression+Alphagenome Filter
ENSG00000197849	Splice/TSS Filter (Novel Splice Junction)
ENSG00000151846	Splice/TSS Filter (Alternative TSS (Multiple Overlaps))
ENSG00000255192	Expression+Alphagenome Filter
ENSG00000126233	Expression+Alphagenome Filter
ENSG00000197079	Splice/TSS Filter (Novel Splice Junction)
ENSG00000206181	Splice/TSS Filter (TSS Mismatch)
ENSG00000187650	Splice/TSS Filter (Novel Splice Junction)
ENSG00000205642	Splice/TSS Filter (Novel Splice Junction)
ENSG00000284356	Expression+Alphagenome Filter
ENSG00000212659	Expression+Alphagenome Filter
ENSG00000186881	Expression+Alphagenome Filter
ENSG00000205328	Expression+Alphagenome Filter
ENSG00000178257	Splice/TSS Filter (Alternative TSS (Multiple Overlaps))
ENSG00000150261	Expression+Alphagenome Filter
ENSG00000172199	Expression+Alphagenome Filter
ENSG00000256797	Splice/TSS Filter (Novel Splice Junction)
ENSG00000286224	Expression+Alphagenome Filter
ENSG00000184724	Splice/TSS Filter (TSS Mismatch)
ENSG00000206105	Expression+Alphagenome Filter
ENSG00000153230	Expression+Alphagenome Filter
ENSG00000182170	Splice/TSS Filter (TSS Mismatch)
ENSG00000120436	Expression+Alphagenome Filter
ENSG00000212721	Expression+Alphagenome Filter
ENSG00000235961	Splice/TSS Filter (Novel Splice Junction)
ENSG00000238243	Expression+Alphagenome Filter
ENSG00000186803	Expression+Alphagenome Filter
ENSG00000165059	Splice/TSS Filter (Alternative TSS (>1 CAGE peak within ±300bp))
ENSG00000204950	Splice/TSS Filter (Alternative TSS (>1 CAGE peak within ±300bp))
ENSG00000223591	Expression+Alphagenome Filter
ENSG00000125903	Expression+Alphagenome Filter
ENSG00000284704	Expression+Alphagenome Filter
ENSG00000214285	Expression+Alphagenome Filter
ENSG00000284438	Expression+Alphagenome Filter
ENSG00000172155	Expression+Alphagenome Filter
ENSG00000172938	Expression+Alphagenome Filter
ENSG00000197353	Expression+Alphagenome Filter
ENSG00000176435	Splice/TSS Filter (Alternative TSS (Multiple Overlaps))
ENSG00000118245	Splice/TSS Filter (Novel Splice Junction)
ENSG00000182459	Splice/TSS Filter (Novel Splice Junction)
ENSG00000197915	Splice/TSS Filter (Novel Splice Junction)
ENSG00000179774	Splice/TSS Filter (Alternative TSS (Multiple Overlaps))
ENSG00000179071	Expression+Alphagenome Filter
ENSG00000139610	Splice/TSS Filter (Novel Splice Junction)
ENSG00000185290	Expression+Alphagenome Filter
ENSG00000186844	Expression+Alphagenome Filter
ENSG00000179919	Expression+Alphagenome Filter
ENSG00000134249	Splice/TSS Filter (Alternative TSS (Multiple Overlaps))
ENSG00000189401	Splice/TSS Filter (Alternative TSS (Multiple Overlaps))
ENSG00000187189	Splice/TSS Filter (Alternative TSS (Multiple Overlaps))
ENSG00000179886	Passed
